Designator,ManufacturerTU,PartNumber
"FU11","","Ïנוהמץנאםטעוכü סאלמגמססעאםאגכטגא‏שטיסÿ MF-MSMF010, 0.1 A"
"FU12","","Ïנוהמץנאםטעוכü סאלמגמססעאםאגכטגא‏שטיסÿ MF-MSMF010, 0.1 A"
"FU13","","Ïנוהמץנאםטעוכü סאלמגמססעאםאגכטגא‏שטיסÿ MF-MSMF010, 0.1 A"
"FU14","","Ïנוהמץנאםטעוכü סאלמגמססעאםאגכטגא‏שטיסÿ MF-MSMF200, 2 A"
"FU15","","Ïנוהמץנאםטעוכü סאלמגמססעאםאגכטגא‏שטיסÿ MF-MSMF050, 0.5 A"
"FU16","","Ïנוהמץנאםטעוכü סאלמגמססעאםאגכטגא‏שטיסÿ MF-MSMF050, 0.5 A"
"FU17","","Ïנוהמץנאםטעוכü סאלמגמססעאםאגכטגא‏שטיסÿ MF-MSMF200, 2 A"
"L1","","BLM31PG601SH1"
"L2","","BLM31PG601SH1"
"L3","","BLM31PG601SH1"
"L4","","BLM31PG601SH1"
"L5","","BLM31PG601SH1"
"L6","","BLM31PG601SH1"
"L7","","BLM31PG601SH1"
"L8","","BLM31PG601SH1"
"R1","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,1-27 ךÎל±5 %-Ò-À"
"R2","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-4,7 ךÎל±5 %-Ò-À"
"R3","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ÌÎל±5 %-Ò-À"
"R4","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ÌÎל±5 %-Ò-À"
"R5","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ÌÎל±5 %-Ò-À"
"R6","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-68 ךÎל±5 %-Ò-À"
"R7","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-6,8 ךÎל±5 %-Ò-À"
"R8","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1 ÌÎל±5 %-Ò-À"
"R9","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-82 ךÎל±5 %-Ò-À"
"R10","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-10 ךÎל±5 %-Ò-À"
"R11","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-33 ךÎל±5 %-Ò-À"
"R12","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-75 ךÎל±5 %-Ò-À"
"R13","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-33 ךÎל±5 %-Ò-À"
"R14","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-3,6 ךÎל±5 %-Ò-À"
"R15","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-150 ךÎל±5 %-Ò-À"
"R16","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-12 ךÎל±5 %-Ò-À"
"R17","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-150 ךÎל±5 %-Ò-À"
"R18","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-12 ךÎל±5 %-Ò-À"
"R19","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-10 ךÎל±5 %-Ò-À"
"R20","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-10 ךÎל±5 %-Ò-À"
"R21","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-10 ךÎל±5 %-Ò-À"
"R22","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-10 ךÎל±5 %-Ò-À"
"R23","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-5,6 ךÎל±5 %-Ò-À"
"R24","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-10 ךÎל±5 %-Ò-À"
"R25","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-5,6 ךÎל±5 %-Ò-À"
"R26","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-10 ךÎל±5 %-Ò-À"
"R27","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-5,6 ךÎל±5 %-Ò-À"
"R28","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-10 ךÎל±5 %-Ò-À"
"R29","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-5,6 ךÎל±5 %-Ò-À"
"R30","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-10 ךÎל±5 %-Ò-À"
"R31","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-2 ךÎל±5 %-Ò-À"
"R32","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-2 ךÎל±5 %-Ò-À"
"R33","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-2 ךÎל±5 %-Ò-À"
