Designator,ManufacturerTU,PartNumber
"C58","АЖЯР.673511.002ТУ","К10-69в-Н90-50 В-2012М-0,01 мкФ+80/-20 %-N"
"DA1","","LM75AD"
"DA2","","LM75AD"
"DA3","","LM75AD"
"DA4","","LM75AD"
"DA5","","LM75AD"
"DD1","бК0.347.364-01ТУ","1533ЛН1"
"DD2","бК0.347.364-01ТУ","1533ЛН1"
"DD3","АЕЯР.431200.182-08ТУ","1554ЛИ1Т БМ"
"DD4","АЕЯР.431200.182-08ТУ","1554ЛИ1Т БМ"
"DD5","АЕЯР.431200.182-08ТУ","1554ЛИ1Т БМ"
"DD6","АЕЯР.431200.182-08ТУ","1554ЛИ1Т БМ"
"DD7","АЕЯР.431200.182-08ТУ","1554ЛИ1Т БМ"
"DD8","","74НС595PW"
"DD9","","74НС595PW"
"DD10","","74НС595PW"
"DD11","","STM32F407IGT6"
"DD12","АЕЯР.431230.882ТУ","5559ИН28У"
"DD13","АЕЯР.431230.882ТУ","5559ИН28У"
"DD14","АЕЯР.431230.882ТУ","5559ИН28У"
"DD15","АЕЯР.431230.882ТУ","5559ИН28У"
"DD16","АЕЯР.431230.882ТУ","5559ИН28У"
"DD17","АЕЯР.431230.882ТУ","5559ИН28У"
"DD18","АЕЯР.431230.882ТУ","5559ИН28У"
"DD19","АЕЯР.431230.882ТУ","5559ИН28У"
"FU1","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU2","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU3","","Предохранитель самовосстанавливающийся MF-MSMF050, 0.5 A"
"FU4","","Предохранитель самовосстанавливающийся MF-MSMF050, 0.5 A"
"FU5","","Предохранитель самовосстанавливающийся MF-MSMF050, 0.5 A"
"FU6","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU7","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU8","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU9","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU10","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU11","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU12","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU13","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU14","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU15","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU16","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU17","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU18","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU19","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU20","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"FU21","","Предохранитель самовосстанавливающийся MF-MSMF020, 0.2 A"
"HL1","","Светодиод BL-L515RGBW-CС"
"R1","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R2","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R3","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R4","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R5","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R6","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R7","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R8","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R9","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R10","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R11","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R12","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R13","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R14","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R15","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R16","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R17","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R18","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R19","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R20","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R21","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R22","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R23","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R24","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R25","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R26","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R27","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R28","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R29","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R30","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R31","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R32","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R33","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R34","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R35","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R36","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R37","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R38","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R39","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R40","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R41","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R42","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R43","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R44","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R45","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R46","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R47","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R48","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R49","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R50","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R51","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R52","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R53","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R54","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R55","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R56","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R57","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R58","ОЖ0.467.164ТУ","Р1-8В-0,063-100 кОм±5 %-Т-А"
"R59","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R60","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R61","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R62","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R63","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R64","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R65","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R66","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R67","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R68","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R69","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R70","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R71","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R72","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R73","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R74","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R75","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R76","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R77","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R78","ОЖ0.467.164ТУ","Р1-8В-0,125-10 МОм±5 %-Т-А"
"R79","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R80","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R81","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R82","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R83","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R84","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R85","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R86","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R87","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R88","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R89","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R90","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R91","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R92","ОЖ0.467.164ТУ","Р1-8В-0,063-6,8 кОм±5 %-Т-А"
"R93","ОЖ0.467.164ТУ","Р1-8В-0,063-6,8 кОм±5 %-Т-А"
"R94","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R95","ОЖ0.467.164ТУ","Р1-8В-0,063-3,3 кОм±5 %-Т-А"
"R96","ОЖ0.467.164ТУ","Р1-8В-0,063-3,3 кОм±5 %-Т-А"
"R97","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R98","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R99","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R100","ОЖ0.467.164ТУ","Р1-8В-0,063-1 кОм±5 %-Т-А"
"R101","ОЖ0.467.164ТУ","Р1-8В-0,1-10 кОм±5 %-Т-А"
"R102","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R103","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R104","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R105","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R106","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R107","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R108","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R109","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R110","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R111","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R112","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R113","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R114","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R115","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R116","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R117","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R118","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R119","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R120","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R121","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R122","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R123","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R124","ОЖ0.467.164ТУ","Р1-8В-0,1-10 Ом±5 %-Т-А"
"R125","ОЖ0.467.164ТУ","Р1-8В-0,125-120 Ом±5 %-Т-А"
"R126","ОЖ0.467.164ТУ","Р1-8В-0,1-10 Ом±5 %-Т-А"
"R127","ОЖ0.467.164ТУ","Р1-8В-0,1-10 Ом±5 %-Т-А"
"R128","ОЖ0.467.164ТУ","Р1-8В-0,1-10 Ом±5 %-Т-А"
"R129","ОЖ0.467.164ТУ","Р1-8В-0,125-22 Ом±5 %-Т-А"
"R130","ОЖ0.467.164ТУ","Р1-8В-0,125-22 Ом±5 %-Т-А"
"R131","ОЖ0.467.164ТУ","Р1-8В-0,125-22 Ом±5 %-Т-А"
"R132","ОЖ0.467.164ТУ","Р1-8В-0,125-22 Ом±5 %-Т-А"
"R133","ОЖ0.467.164ТУ","Р1-8В-0,125-22 Ом±5 %-Т-А"
"R134","ОЖ0.467.164ТУ","Р1-8В-0,125-22 Ом±5 %-Т-А"
"R135","ОЖ0.467.164ТУ","Р1-8В-0,125-22 Ом±5 %-Т-А"
"R136","ОЖ0.467.164ТУ","Р1-8В-0,125-22 Ом±5 %-Т-А"
"R137","ОЖ0.467.164ТУ","Р1-8В-0,125-22 Ом±5 %-Т-А"
"R138","ОЖ0.467.164ТУ","Р1-8В-0,125-22 Ом±5 %-Т-А"
"R139","ОЖ0.467.164ТУ","Р1-8В-0,125-22 Ом±5 %-Т-А"
"R140","ОЖ0.467.164ТУ","Р1-8В-0,125-22 Ом±5 %-Т-А"
"R141","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R142","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
